implicit,explicit,raceomb,sex,politics,year,age,education
-0.156094122,4,6,f,3,2007,37,7
0.534441947,6.5,6,f,5,2009,22,7
0.488682339,4,6,m,6,2012,18,5
0.758126832,4,5,f,5,2009,25,7
0.374669324,4,6,m,4,2007,20,4
-0.390771449,4,6,f,6,2015,35,7
0.687830638,6,6,f,5,2014,26,9
0.448969976,5.5,6,m,5,2010,41,10
0.60003933,4.5,6,m,7,2009,29,8
0.799865726,7,6,m,4,2015,51,5
0.60472082,4,6,f,7,2008,28,9
0.919207797,4,6,f,7,2008,15,3
0.715539815,4.5,6,f,7,2012,21,7
0.355051858,4.5,6,f,4,2009,32,5
0.620886522,4,6,m,6,2013,31,7
-0.178983665,4,6,f,6,2008,22,7
-0.264423112,5,9,m,7,2013,52,9
0.775095741,6,9,m,5,2015,20,7
0.927059557,5.5,6,m,6,2015,41,10
0.130691148,4,6,f,4,2007,17,5
0.186824804,4,6,f,6,2015,19,5
-0.190671665,5,3,f,6,2015,18,3
0.827504445,4.5,6,f,4,2009,23,6
0.331401392,7,6,f,1,2011,19,5
0.795648537,4,6,f,6,2010,17,3
-0.04776987,5,2,f,6,2007,16,3
0.622032036,5.5,6,f,6,2014,18,4
-0.047410591,5.5,6,m,7,2014,20,5
0.534411796,4,6,f,7,2013,25,8
0.214520945,4,6,f,7,2007,24,7
-0.124595619,5,6,f,5,2014,17,3
0.197447872,4,6,f,5,2007,18,5
0.878689025,5,6,f,6,2013,28,9
0.777004245,4,6,m,7,2011,23,7
0.158169453,4.5,6,m,6,2015,23,7
-0.387833298,5,6,f,3,2014,44,9
0.375450447,5,5,f,6,2009,16,3
0.317628637,4,5,f,4,2013,30,5
0.903477607,5,6,f,6,2007,18,4
1.079550385,4,6,m,4,2015,26,7
0.218771533,5.5,3,m,2,2010,17,4
-0.113341253,6,7,f,2,2009,18,4
0.085670249,4.5,6,f,7,2007,21,5
0.367115178,4.5,6,f,4,2009,20,5
0.467848753,5,6,f,3,2012,49,5
0.626614405,4,6,m,4,2014,23,5
0.509196256,4.5,6,m,6,2014,21,4
0.048879839,4.5,6,m,6,2015,25,7
0.343719697,5,6,f,4,2015,45,10
0.636423961,4.5,6,m,4,2015,27,9
0.066765278,6,6,f,7,2013,21,5
0.374249544,4.5,6,f,4,2015,22,7
-0.398540477,4,6,m,6,2013,51,7
0.189035749,4.5,6,f,2,2011,19,4
0.352464156,5,2,f,6,2010,21,7
0.053550143,5,6,f,4,2012,17,3
0.283097028,3,6,f,4,2007,19,5
0.026470469,5,NA,f,6,2015,NA,10
0.131154111,5,6,m,7,2015,26,9
0.453989783,6,6,m,2,2012,42,5
0.372274422,2.5,6,m,3,2012,14,3
0.178845865,4,6,m,2,2009,19,4
-0.056334911,4.5,NA,.,NA,2015,NA,NA
0.673067799,3.5,8,m,4,2012,16,3
-0.352155408,5.5,6,f,7,2008,28,10
0.507839094,4,6,m,4,2007,23,5
0.308880029,5,6,m,4,2008,19,5
0.514166525,4,6,f,5,2011,23,5
-0.304605436,4,6,m,4,2007,21,5
-0.072382466,4,6,m,3,2012,16,3
0.585711679,6,NA,.,NA,2007,NA,NA
-0.321455714,4,6,m,6,2007,18,4
0.223581304,4.5,6,m,6,2009,27,9
0.617081467,4,6,f,6,2014,21,5
0.458348088,4,6,f,5,2015,22,5
0.815035565,4,5,f,7,2014,17,3
0.812779573,4,NA,.,NA,2015,NA,NA
0.672175709,4,8,f,4,2015,16,3
-0.100184795,4,6,f,6,2013,22,5
0.117830663,5,6,m,4,2010,17,3
0.480951547,4,6,f,7,2015,50,10
0.576739922,4,8,f,4,2012,27,9
0.518137573,5.5,6,f,6,2015,59,9
0.886874208,5,6,f,NA,2011,17,4
0.609326104,4,6,f,4,2015,19,5
-0.016845327,4.5,3,f,NA,2014,28,10
0.319956432,5,6,m,7,2015,40,9
0.391847064,5,6,f,7,2012,25,5
0.665131591,6.5,6,m,2,2013,21,7
0.260155517,4.5,2,f,5,2008,14,2
0.090671735,6,6,f,7,2015,26,7
0.3693857,4,NA,.,NA,2015,NA,NA
0.050134759,5,6,f,6,2009,20,5
0.706770856,4.5,6,f,7,2013,30,5
-0.072280116,5.5,6,f,7,2013,34,10
0.094051682,4.5,6,m,3,2008,48,8
0.347023941,6.5,6,f,4,2015,30,6
0.925196891,5,6,m,6,2008,18,5
0.449501293,5,2,m,6,2015,18,4
0.41007943,5,6,f,4,2013,27,7
0.095436305,5,6,f,6,2012,30,9
0.445481094,5,6,f,6,2013,31,8
-0.543771275,3.5,6,f,6,2015,42,9
0.037029777,4,NA,.,NA,2014,NA,NA
-0.109379571,4,6,f,2,2012,42,9
0.325115246,6,6,f,7,2011,26,8
0.783255281,4,6,f,2,2013,18,3
0.508332177,4,6,m,4,2015,24,7
0.182906288,5,6,f,2,2013,19,5
0.414837271,4,6,f,6,2008,30,9
0.267392951,6,6,f,3,2015,44,9
0.2920243,5,6,f,4,2011,15,3
0.518149072,6,6,m,5,2009,39,8
0.643219663,6,6,f,6,2013,39,9
0.949755626,6,6,f,7,2008,19,6
0.713758464,6,6,f,4,2013,28,10
-0.069914666,4.5,6,m,3,2013,24,9
