Implicit,Explicit,racenum,sexnum,politics,age,year,education,datecode,numiats,Age_group
0.5430385233732684,4,6,0,3,16,2012,3,1949,1,1
0.3156222934978587,5,6,1,4,20,2016,5,3313,3,1
0.8559784354862103,5,NA,NA,NA,NA,2017,5,3984,NA,NA
0.01248354293506782,4,NA,NA,NA,NA,2017,5,3703,NA,NA
0.7908056391858198,5,6,0,4,19,2015,4,3181,2,1
0.3908768169275983,4,6,1,3,21,2007,5,295,1,2
0.24767669210388407,5,NA,NA,NA,NA,2017,8,3888,NA,NA
0.7810255430849311,5,6,1,6,46,2015,5,3194,2,4
0.6406092496242164,2,5,1,2,44,2010,5,1204,5,4
0.37321676579975394,5,6,0,4,16,2012,4,2153,NA,1
0.7952608151138205,4,6,0,4,36,2015,7,3182,4,3
0.7999137589862639,3,8,0,4,19,2014,4,2875,1,1
0.32103115477635347,2,6,1,6,35,2007,5,160,2,3
0.6499153203214387,4,6,0,4,44,2015,7,3032,1,4
-0.2803080578927662,5,6,1,3,30,2014,9,2580,3,2
-0.7819617612795118,5,6,1,2,20,2015,5,2971,2,1
0.5733831713501085,3,NA,NA,NA,NA,2017,5,3936,NA,NA
0.6599692424276403,4,6,1,6,20,2012,5,1865,1,1
0.6573534120536508,4,6,1,4,25,2015,5,3231,1,2
-0.42475125470656094,3,6,1,2,21,2009,5,942,3,2
1.0053192297916942,3,6,1,4,40,2012,7,2115,1,3
0.7931099216911737,6,6,0,6,32,2016,10,3326,1,3
-0.4560024113875604,5,6,0,5,20,2015,5,3187,4,1
-0.11138819502530228,4,6,1,4,47,2015,8,3231,4,4
0.5227460201425002,5,6,1,1,17,2007,3,4,1,1
1.0208299274714352,4,6,0,2,19,2013,5,2229,2,1
-0.16536166266161428,7,NA,NA,NA,NA,2017,5,3684,NA,NA
0.40121297174010184,4,9,1,4,43,2008,7,393,3,4
0.4273158873183254,6,6,1,6,20,2014,5,2578,3,1
0.5729013722780203,4,NA,1,6,28,2014,7,2772,1,2
0.1761398400851646,5,NA,NA,NA,NA,2017,7,3984,NA,NA
0.35808078492214157,4,8,1,1,22,2007,7,24,4,2
0.00937829637626883,4,NA,NA,NA,NA,2017,9,3676,NA,NA
0.6174182174322618,4,6,1,4,34,2010,5,1434,3,3
0.6517148103022574,4,NA,NA,NA,NA,2017,10,3726,NA,NA
0.8683266873839925,7,6,1,2,20,2013,5,2244,2,1
0.35625396643110807,2,6,1,4,26,2013,5,2440,1,2
0.8374064637986708,6,6,1,6,18,2015,3,3179,2,1
0.03849064290159343,5,6,1,2,51,2013,5,2244,1,5
1.0255253247568152,4,6,1,3,46,2007,5,244,1,4
0.3719952518237436,4,NA,NA,NA,NA,2017,7,3930,NA,NA
-0.1930990432939246,5,6,1,6,15,2013,3,2439,1,1
0.47217599712740965,5,6,1,3,17,2011,4,1727,2,1
-0.5394111653947626,3,6,1,5,44,2015,8,3135,1,4
-0.14369721614148806,4,NA,NA,NA,NA,2017,5,3971,NA,NA
0.5706218586227589,4,9,1,4,20,2015,4,3181,1,1
0.39078012304135545,4,NA,NA,NA,NA,2017,6,3679,NA,NA
0.9468846474278967,2,NA,NA,NA,NA,2017,6,3664,NA,NA
0.7669623618999388,7,6,1,4,17,2009,3,1003,2,1
0.5960982653507509,4,5,1,4,33,2011,5,1764,1,3
0.2213158294428924,4,6,0,4,28,2016,9,3322,1,2
0.6039206744538406,5,NA,NA,NA,NA,2017,5,3829,NA,NA
0.6945522076963855,4,6,1,4,17,2011,3,1775,1,1
0.46214174157172794,6,6,1,4,22,2015,5,3173,2,2
0.5402778567221331,7,6,1,4,24,2011,5,1800,2,2
0.5331902411615475,4,NA,NA,NA,NA,2017,8,3661,NA,NA
0.352211096341976,4,6,0,2,54,2015,10,2998,1,5
0.0433305598871095,6,6,1,4,20,2013,5,2488,1,1
0.8552454670454379,4,5,1,7,47,2012,6,1972,1,4
-0.8995011098486982,4,NA,NA,NA,NA,2017,8,3708,NA,NA
